"","ind","set","c","bp","coverage"
"81",2,"15_Low2_iHMM_GM12878",1077754286,570455209,1.88928818423674
"82",2,"16_Low3_iHMM_GM12878",87433589,48345445,1.80851761732672
"83",2,"17_Unmap_iHMM_GM12878",739619758,727072978,1.01725656210538
"84",2,"1_Pro_iHMM_GM12878",58657161,46202532,1.26956594067182
"85",2,"2_Enh1_iHMM_GM12878",124631294,69442161,1.79474964784002
"86",2,"3_Enh2_iHMM_GM12878",178268995,94941407,1.87767382676349
"87",2,"4_Egn1_iHMM_GM12878",90840108,55600976,1.63378621267368
"88",2,"5_Egn2_iHMM_GM12878",66834884,40028756,1.66967177296242
"89",2,"6_Egn3_iHMM_GM12878",325039763,180155677,1.8042160447711
"90",2,"7_Egn4_iHMM_GM12878",160240304,97075950,1.6506694397531
"91",2,"8_Egn5_iHMM_GM12878",55275027,30156712,1.83292618240344
"92",2,"9_Egn6_iHMM_GM12878",248551391,150264385,1.65409382269791
"93",3,"All_reads",3981786039,3e+09,1.327262013
"94",3,"H2AFZ-human_GM12878_ENCFF001SUD",389750088,288036491,1.35312746883866
"95",3,"H2AFZ-human_lung_ENCFF888SIA",87610441,48896494,1.79175302425569
"96",3,"H3F3A-human_lung_ENCFF926ZHI",165924664,103936536,1.59640363615736
"97",3,"H3K27ac-human_GM12878_ENCFF001SUG",203038902,166141897,1.22208127911288
"98",3,"H3K27ac-human_lung_ENCFF371BKL",136123034,89536868,1.52030149189494
"99",3,"H3K27me3-human_GM12878_ENCFF001SUI",1528795397,1022773586,1.49475447736094
"100",3,"H3K27me3-human_lung_ENCFF468ZHH",226445095,146540119,1.54527713328798
"101",3,"H3K36me3-human_GM12878_ENCFF001SUJ",757004241,580278190,1.3045540122747
"102",3,"H3K36me3-human_GM12878_ENCFF001WYF",216121045,96031201,2.25052943990568
"103",3,"H3K36me3-human_GM12878_ENCFF001WYH",215784447,94013533,2.29524878083244
"104",3,"H3K36me3-human_lung_ENCFF457NNG",95963851,59362744,1.61656696664831
"105",3,"H3K4me1-human_GM12878_ENCFF001SUE",491617111,368077180,1.33563594189675
"106",3,"H3K4me1-human_lung_ENCFF209XDL",199103588,128997637,1.54346693963084
"107",3,"H3K4me2-human_GM12878_ENCFF001SUL",260462520,213945450,1.21742490901302
"108",3,"H3K4me2-human_lung_ENCFF270NMV",168383448,112466077,1.49719322031656
"109",3,"H3K4me3-human_GM12878_ENCFF001SUF",319531672,245538981,1.30134804135234
"110",3,"H3K4me3-human_GM12878_ENCFF001SUM",233001571,185179234,1.25824891899056
"111",3,"H3K4me3-human_lung_ENCFF347EMU",73337813,50370689,1.4559620774693
"112",3,"H3K4me3-human_lung_ENCFF361TGO",61138363,41775242,1.46350709350768
"113",3,"H3K79me2-human_GM12878_ENCFF001SUN",373035996,288163197,1.29453032130262
"114",3,"H3K79me2-human_lung_ENCFF292NSP",158901242,107574476,1.47712773427779
"115",3,"H3K9ac-human_GM12878_ENCFF001SUO",158402830,133249659,1.18876724480023
"116",3,"H3K9ac-human_lung_ENCFF555OKO",76779374,51487077,1.49123582991515
"117",3,"H3K9me2-human_lung_ENCFF447MUW",16082597,7775978,2.06824106241041
"118",3,"H3K9me3-human_GM12878_ENCFF001SUP",791866106,539366538,1.4681409583477
"119",3,"H3K9me3-human_lung_ENCFF813YSM",52905193,30399782,1.7403148812054
